品类,二级品类,版型(细分品类),代际,品牌,货号,销量,状态,本代升级情况,细分品类后续升级思路,竞品参考链接,数据来源,数据来源sheet
护膝,针织运动护膝,无支撑,一代,ANTA,1824572550,51,已量产,,,,护膝货盘.xlsx,2026年4月
护膝,针织运动护膝,无支撑,二代,TMT,HX85,54,已量产,,,,护膝货盘.xlsx,2026年4月
护膝,针织运动护膝,无支撑儿童,一代,TMT,HX05,6,已量产,,,,护膝货盘.xlsx,2026年4月
护踝,轻薄 / 扭伤护踝,轻薄扭伤 / （绑带款）,一代,TMT,HH01,三月：2819-452=2367+206=2573,已量产,,①针对外露缝纫线： / 思路一：参考练己全压胶（已在JAFFICK初步尝试） / 思路二：参考LP四针六线上压胶条（已在JAFFICK初步尝试） / ②参考KEEP激光打孔点阵，视觉突出透气 / ③参考KEEP做左右两侧弧形提手,,护踝货盘(5).xlsx,2026.03
护踝,轻薄 / 扭伤护踝,轻薄扭伤 / （绑带款）,一代,SERUNA,HH01,,未知,,①针对外露缝纫线： / 思路一：参考练己全压胶（已在JAFFICK初步尝试） / 思路二：参考LP四针六线上压胶条（已在JAFFICK初步尝试） / ②参考KEEP激光打孔点阵，视觉突出透气 / ③参考KEEP做左右两侧弧形提手,,护踝货盘(5).xlsx,2026.03
护踝,轻薄 / 扭伤护踝,轻薄扭伤 / （绑带款）,一代,JAFFICK,HH01,,未知,,①针对外露缝纫线： / 思路一：参考练己全压胶（已在JAFFICK初步尝试） / 思路二：参考LP四针六线上压胶条（已在JAFFICK初步尝试） / ②参考KEEP激光打孔点阵，视觉突出透气 / ③参考KEEP做左右两侧弧形提手,,护踝货盘(5).xlsx,2026.03
护踝,轻薄 / 扭伤护踝,轻薄扭伤 / （绑带款）,一代,ANTA,9825172564,三月：3605-417=3188,已量产,,①针对外露缝纫线： / 思路一：参考练己全压胶（已在JAFFICK初步尝试） / 思路二：参考LP四针六线上压胶条（已在JAFFICK初步尝试） / ②参考KEEP激光打孔点阵，视觉突出透气 / ③参考KEEP做左右两侧弧形提手,,护踝货盘(5).xlsx,2026.03
护踝,轻薄 / 扭伤护踝,轻薄扭伤 / （绑带款）,二代,TMT,HH45,三月：508-192=316,已量产,2025.12上架,①针对外露缝纫线： / 思路一：参考练己全压胶（已在JAFFICK初步尝试） / 思路二：参考LP四针六线上压胶条（已在JAFFICK初步尝试） / ②参考KEEP激光打孔点阵，视觉突出透气 / ③参考KEEP做左右两侧弧形提手,https://detail.tmall.com/item.htm?id=816611195057&mi_id=0000f3hH-j-6a3yld8r8YrYHfrymQxdNmKAPvDmqhs1Ta7o&sku_properties=1627207%3A33361482491&spm=a21xtw.29178619.0.0 | https://detail.tmall.com/item.htm?abbucket=6&id=789385212652&mi_id=0000KeBFKB4jPVb-OKfZF4KRYndvnjXIWjgYATLgQJsjkow&ns=1&priceTId=213e097017633727772223281e16cb&skuId=5554940278895&spm=a21n57.1.hoverItem.3&utparam=%7B%22aplus_abtest%22%3A%22e65f788f9d3643174b02967978d2faf7%22%7D&xxc=taobaoSearch,护踝货盘(5).xlsx,2026.03
护踝,轻薄 / 扭伤护踝,轻薄扭伤 / （绑带款）,二代,SERUNA,HH15,三月：6708-1272=5436+940=6376,已量产,已有SERUNA涂装版在升级 （已上架）,①针对外露缝纫线： / 思路一：参考练己全压胶（已在JAFFICK初步尝试） / 思路二：参考LP四针六线上压胶条（已在JAFFICK初步尝试） / ②参考KEEP激光打孔点阵，视觉突出透气 / ③参考KEEP做左右两侧弧形提手,https://detail.tmall.com/item.htm?id=816611195057&mi_id=0000f3hH-j-6a3yld8r8YrYHfrymQxdNmKAPvDmqhs1Ta7o&sku_properties=1627207%3A33361482491&spm=a21xtw.29178619.0.0 | https://detail.tmall.com/item.htm?abbucket=6&id=789385212652&mi_id=0000KeBFKB4jPVb-OKfZF4KRYndvnjXIWjgYATLgQJsjkow&ns=1&priceTId=213e097017633727772223281e16cb&skuId=5554940278895&spm=a21n57.1.hoverItem.3&utparam=%7B%22aplus_abtest%22%3A%22e65f788f9d3643174b02967978d2faf7%22%7D&xxc=taobaoSearch,护踝货盘(5).xlsx,2026.03
护踝,轻薄 / 扭伤护踝,轻薄扭伤 / （绑带款）,二代,JAFFICK,HH35,三月：34-2=32,已量产,2025.10上架,①针对外露缝纫线： / 思路一：参考练己全压胶（已在JAFFICK初步尝试） / 思路二：参考LP四针六线上压胶条（已在JAFFICK初步尝试） / ②参考KEEP激光打孔点阵，视觉突出透气 / ③参考KEEP做左右两侧弧形提手,https://detail.tmall.com/item.htm?id=816611195057&mi_id=0000f3hH-j-6a3yld8r8YrYHfrymQxdNmKAPvDmqhs1Ta7o&sku_properties=1627207%3A33361482491&spm=a21xtw.29178619.0.0 | https://detail.tmall.com/item.htm?abbucket=6&id=789385212652&mi_id=0000KeBFKB4jPVb-OKfZF4KRYndvnjXIWjgYATLgQJsjkow&ns=1&priceTId=213e097017633727772223281e16cb&skuId=5554940278895&spm=a21n57.1.hoverItem.3&utparam=%7B%22aplus_abtest%22%3A%22e65f788f9d3643174b02967978d2faf7%22%7D&xxc=taobaoSearch,护踝货盘(5).xlsx,2026.03
护踝,轻薄 / 扭伤护踝,轻薄扭伤 / （绑带款）,二代,ANTA,9825372560R,三月：65-12=53,已量产,已有ANTA涂装版在升级 （已上架）,①针对外露缝纫线： / 思路一：参考练己全压胶（已在JAFFICK初步尝试） / 思路二：参考LP四针六线上压胶条（已在JAFFICK初步尝试） / ②参考KEEP激光打孔点阵，视觉突出透气 / ③参考KEEP做左右两侧弧形提手,https://detail.tmall.com/item.htm?id=816611195057&mi_id=0000f3hH-j-6a3yld8r8YrYHfrymQxdNmKAPvDmqhs1Ta7o&sku_properties=1627207%3A33361482491&spm=a21xtw.29178619.0.0 | https://detail.tmall.com/item.htm?abbucket=6&id=789385212652&mi_id=0000KeBFKB4jPVb-OKfZF4KRYndvnjXIWjgYATLgQJsjkow&ns=1&priceTId=213e097017633727772223281e16cb&skuId=5554940278895&spm=a21n57.1.hoverItem.3&utparam=%7B%22aplus_abtest%22%3A%22e65f788f9d3643174b02967978d2faf7%22%7D&xxc=taobaoSearch,护踝货盘(5).xlsx,2026.03
护踝,轻薄 / 扭伤护踝,轻薄扭伤 / （绑带款）,三代,JAFFICK,C-HH55,,未知,2025.04上架,①针对外露缝纫线： / 思路一：参考练己全压胶（已在JAFFICK初步尝试） / 思路二：参考LP四针六线上压胶条（已在JAFFICK初步尝试） / ②参考KEEP激光打孔点阵，视觉突出透气 / ③参考KEEP做左右两侧弧形提手,,护踝货盘(5).xlsx,2026.03
护踝,轻薄 / 扭伤护踝,轻薄扭伤 / （绑带透气款）,一代,TMT,HH47,三月：34-10=24,已量产,2026.03上架,①针对外露缝纫线： / 思路一：参考练己全压胶（已在JAFFICK初步尝试） / 思路二：参考LP四针六线上压胶条（已在JAFFICK初步尝试） / ②参考KEEP激光打孔点阵，视觉突出透气 / ③参考KEEP做左右两侧弧形提手,https://detail.tmall.com/item.htm?id=816611195057&mi_id=0000f3hH-j-6a3yld8r8YrYHfrymQxdNmKAPvDmqhs1Ta7o&sku_properties=1627207%3A33361482491&spm=a21xtw.29178619.0.0 | https://detail.tmall.com/item.htm?abbucket=6&id=789385212652&mi_id=0000KeBFKB4jPVb-OKfZF4KRYndvnjXIWjgYATLgQJsjkow&ns=1&priceTId=213e097017633727772223281e16cb&skuId=5554940278895&spm=a21n57.1.hoverItem.3&utparam=%7B%22aplus_abtest%22%3A%22e65f788f9d3643174b02967978d2faf7%22%7D&xxc=taobaoSearch,护踝货盘(5).xlsx,2026.03
护踝,轻薄 / 扭伤护踝,轻薄扭伤 / （绑带透气款）,一代,SERUNA,HH25,三月：2060-368=1692+817=2509,已量产,2025.07上架,①针对外露缝纫线： / 思路一：参考练己全压胶（已在JAFFICK初步尝试） / 思路二：参考LP四针六线上压胶条（已在JAFFICK初步尝试） / ②参考KEEP激光打孔点阵，视觉突出透气 / ③参考KEEP做左右两侧弧形提手,https://detail.tmall.com/item.htm?id=816611195057&mi_id=0000f3hH-j-6a3yld8r8YrYHfrymQxdNmKAPvDmqhs1Ta7o&sku_properties=1627207%3A33361482491&spm=a21xtw.29178619.0.0 | https://detail.tmall.com/item.htm?abbucket=6&id=789385212652&mi_id=0000KeBFKB4jPVb-OKfZF4KRYndvnjXIWjgYATLgQJsjkow&ns=1&priceTId=213e097017633727772223281e16cb&skuId=5554940278895&spm=a21n57.1.hoverItem.3&utparam=%7B%22aplus_abtest%22%3A%22e65f788f9d3643174b02967978d2faf7%22%7D&xxc=taobaoSearch,护踝货盘(5).xlsx,2026.03
护踝,轻薄 / 扭伤护踝,轻薄扭伤 / （绑带透气款）,一代,JAFFICK,HH33,三月：59-9=50,已量产,2025.10上架,①针对外露缝纫线： / 思路一：参考练己全压胶（已在JAFFICK初步尝试） / 思路二：参考LP四针六线上压胶条（已在JAFFICK初步尝试） / ②参考KEEP激光打孔点阵，视觉突出透气 / ③参考KEEP做左右两侧弧形提手,https://detail.tmall.com/item.htm?id=816611195057&mi_id=0000f3hH-j-6a3yld8r8YrYHfrymQxdNmKAPvDmqhs1Ta7o&sku_properties=1627207%3A33361482491&spm=a21xtw.29178619.0.0 | https://detail.tmall.com/item.htm?abbucket=6&id=789385212652&mi_id=0000KeBFKB4jPVb-OKfZF4KRYndvnjXIWjgYATLgQJsjkow&ns=1&priceTId=213e097017633727772223281e16cb&skuId=5554940278895&spm=a21n57.1.hoverItem.3&utparam=%7B%22aplus_abtest%22%3A%22e65f788f9d3643174b02967978d2faf7%22%7D&xxc=taobaoSearch,护踝货盘(5).xlsx,2026.03
护踝,轻薄 / 扭伤护踝,轻薄扭伤 / （绑带硅胶款）,一代,TMT,HH03,三月：1247-200=1047,已量产,,①参考KEEP硅胶垫改为热压工艺，目前存在印花上缝线问题 / ②改为网眼透气面料 / ③其余同上,,护踝货盘(5).xlsx,2026.03
护踝,轻薄 / 扭伤护踝,轻薄扭伤 / （绑带硅胶款）,一代,SERUNA,HH03,,未知,,①参考KEEP硅胶垫改为热压工艺，目前存在印花上缝线问题 / ②改为网眼透气面料 / ③其余同上,,护踝货盘(5).xlsx,2026.03
护踝,轻薄 / 扭伤护踝,轻薄扭伤 / （绑带硅胶款）,一代,JAFFICK,HH03,,未知,,①参考KEEP硅胶垫改为热压工艺，目前存在印花上缝线问题 / ②改为网眼透气面料 / ③其余同上,,护踝货盘(5).xlsx,2026.03
护踝,轻薄 / 扭伤护踝,轻薄扭伤 / （绑带硅胶款）,二代,ANTA,9825172565,三月：547-43=504,已量产,已有ANTA涂装版在升级 （已上架）,①参考KEEP硅胶垫改为热压工艺，目前存在印花上缝线问题 / ②改为网眼透气面料 / ③其余同上,https://detail.tmall.com/item.htm?id=816611195057&mi_id=0000f3hH-j-6a3yld8r8YrYHfrymQxdNmKAPvDmqhs1Ta7o&sku_properties=1627207%3A33361482491&spm=a21xtw.29178619.0.0 | https://detail.tmall.com/item.htm?abbucket=6&id=789385212652&mi_id=0000KeBFKB4jPVb-OKfZF4KRYndvnjXIWjgYATLgQJsjkow&ns=1&priceTId=213e097017633727772223281e16cb&skuId=5554940278895&spm=a21n57.1.hoverItem.3&utparam=%7B%22aplus_abtest%22%3A%22e65f788f9d3643174b02967978d2faf7%22%7D&xxc=taobaoSearch,护踝货盘(5).xlsx,2026.03
护踝,轻薄 / 扭伤护踝,防扭伤外套,一代,TMT,HH09,三月：26-3=23,已量产,清仓中,①可参考美津浓使用HW53网眼复合面料做不可拆卸式 / ②可参考LP做外露踝骨,https://detail.tmall.com/item.htm?id=806875245900&last_time=1763090979&mi_id=0000yuRy4X16Z6wS8AxCPS-e7rgHCI5Sg_JpnHCXwxRW4Gk&scm=1007.13982.82927.0&sku_properties=1627207%3A33001478542&spm=tbpc.mytb_footmark.item.goods&upStreamPrice=5190 | https://detail.tmall.com/item.htm?abbucket=6&id=802790267641&mi_id=00000eK38FH2HVBBfXHR4reXSfI0M0nM2MjW5NwosWgxsnM&ns=1&priceTId=214780b217633770318395726e0e5b&skuId=5651282521783&spm=a21n57.1.hoverItem.6&utparam=%7B%22aplus_abtest%22%3A%226028b267f8c823837c2c7d8d15fad5c8%22%7D&xxc=taobaoSearch,护踝货盘(5).xlsx,2026.03
护踝,运动护踝,交叉绑护踝,一代,TMT,HH74/H73/H74,0,已量产,清仓中,①目前为两种面料缝合，该工艺目前来看稍显粗糙，针对该问题有两种解决方向： / 方向一：参考李宁、美津浓、安德玛，使用一体式可自粘弹力网眼面料（HW53同款） / 方向二：参考LP徕卡面料复合自粘毛面。 / 两种方法均可提高产品质感，工艺难度均可实现，成本上第二种可能更低 / ②针对防护性，参考安德玛及LP在踝骨处增加硅胶垫 / ③针对贴合度，参考LP爆款护踝，在左右两侧开孔,,护踝货盘(5).xlsx,2026.03
护踝,运动护踝,交叉绑护踝,一代,SERUNA,HH13,三月：1575-356=1219,已量产,,①目前为两种面料缝合，该工艺目前来看稍显粗糙，针对该问题有两种解决方向： / 方向一：参考李宁、美津浓、安德玛，使用一体式可自粘弹力网眼面料（HW53同款） / 方向二：参考LP徕卡面料复合自粘毛面。 / 两种方法均可提高产品质感，工艺难度均可实现，成本上第二种可能更低 / ②针对防护性，参考安德玛及LP在踝骨处增加硅胶垫 / ③针对贴合度，参考LP爆款护踝，在左右两侧开孔,,护踝货盘(5).xlsx,2026.03
护踝,运动护踝,交叉绑护踝,一代,JAFFICK,HH29,三月：6-0=6,已量产,2025.10上架,①目前为两种面料缝合，该工艺目前来看稍显粗糙，针对该问题有两种解决方向： / 方向一：参考李宁、美津浓、安德玛，使用一体式可自粘弹力网眼面料（HW53同款） / 方向二：参考LP徕卡面料复合自粘毛面。 / 两种方法均可提高产品质感，工艺难度均可实现，成本上第二种可能更低 / ②针对防护性，参考安德玛及LP在踝骨处增加硅胶垫 / ③针对贴合度，参考LP爆款护踝，在左右两侧开孔,,护踝货盘(5).xlsx,2026.03
护踝,运动护踝,交叉绑护踝,二代,TMT,HH05,三月：375-83=292,已量产,,①目前为两种面料缝合，该工艺目前来看稍显粗糙，针对该问题有两种解决方向： / 方向一：参考李宁、美津浓、安德玛，使用一体式可自粘弹力网眼面料（HW53同款） / 方向二：参考LP徕卡面料复合自粘毛面。 / 两种方法均可提高产品质感，工艺难度均可实现，成本上第二种可能更低 / ②针对防护性，参考安德玛及LP在踝骨处增加硅胶垫 / ③针对贴合度，参考LP爆款护踝，在左右两侧开孔,https://detail.tmall.com/item.htm?id=809860749271&last_time=1763091314&mi_id=0000eGQmLuXNEvxXjxjc4RfuQACR-O_W46KkFlcIvbV4pFE&scm=1007.13982.82927.0&spm=tbpc.mytb_footmark.item.goods&upStreamPrice=4840 | https://chaoshi.detail.tmall.com/item.htm?abbucket=6&id=800805070101&mi_id=0000_UUCGmIFHYLTlel-v4VC1zmCp4ikP5GS2Twv_xWP4OU&ns=1&priceTId=2147bff817634288453464370e0f09&skuId=5824120552933&spm=a21n57.1.hoverItem.49&utparam=%7B%22aplus_abtest%22%3A%22a0ce173cc9b2d5b76fde04b9112fa2d6%22%7D&xxc=taobaoSearch | https://detail.tmall.com/item.htm?abbucket=6&id=972698950739&mi_id=0000b2gbaEpRJHPyG-IEl_Rdsz5rqCBSFt1kskiuh27ed78&ns=1&priceTId=2147bff817634289721074111e0f09&skuId=6091069691900&spm=a21n57.1.hoverItem.43&utparam=%7B%22aplus_abtest%22%3A%22e36dd3c0e7495afef7e93d1ca6e2495d%22%7D&xxc=taobaoSearch,护踝货盘(5).xlsx,2026.03
护踝,运动护踝,运动支撑护踝,一代,TMT,HH80,三月：3-2=1,已量产,清仓中,,,护踝货盘(5).xlsx,2026.03
护踝,运动护踝,套筒运动护踝,一代,TMT,H62,0,已量产,清仓中,,,护踝货盘(5).xlsx,2026.03
护踝,运动护踝,套筒绑带运动护踝,一代,TMT,FH18,0,已量产,清仓中,,,护踝货盘(5).xlsx,2026.03
护踝,针织护踝,针织扭伤护踝,一代,TMT,H72,0,已量产,清仓中,暂无后续升级思路,,护踝货盘(5).xlsx,2026.03
护踝,针织护踝,针织扭伤护踝,一代,SERUNA,JHH003,三月：30-10=20,已量产,2025.10上架,暂无后续升级思路,,护踝货盘(5).xlsx,2026.03
护踝,骨折护踝,外露骨折护踝,一代,TMT,H70,三月：4727-1464=3263+2584=5847,已量产,,①等待SERUNA测试后，更换同款面料 / ②夹板重新开模新外观，更新后可三品牌可同时进行升级,,护踝货盘(5).xlsx,2026.03
护踝,骨折护踝,外露骨折护踝,一代,SERUNA,H70,,未知,,①等待SERUNA测试后，更换同款面料 / ②夹板重新开模新外观，更新后可三品牌可同时进行升级,,护踝货盘(5).xlsx,2026.03
护踝,骨折护踝,外露骨折护踝,一代,JAFFICK,H70,,未知,,①等待SERUNA测试后，更换同款面料 / ②夹板重新开模新外观，更新后可三品牌可同时进行升级,,护踝货盘(5).xlsx,2026.03
护踝,骨折护踝,外露骨折护踝,一代,ANTA,C-H70,三月：1044-173=871,已量产,,①等待SERUNA测试后，更换同款面料 / ②夹板重新开模新外观，更新后可三品牌可同时进行升级,,护踝货盘(5).xlsx,2026.03
护踝,骨折护踝,外露骨折护踝,二代,SERUNA,HH19,三月： / 481-149=332+318=650,已量产,已有SERUNA涂装版在升级,①等待SERUNA测试后，更换同款面料 / ②夹板重新开模新外观，更新后可三品牌可同时进行升级,,护踝货盘(5).xlsx,2026.03
护踝,骨折护踝,外露骨折护踝,二代,JAFFICK,HH37,三月：35-10=25,已量产,2025.10上架,①等待SERUNA测试后，更换同款面料 / ②夹板重新开模新外观，更新后可三品牌可同时进行升级,,护踝货盘(5).xlsx,2026.03
护踝,骨折护踝,外露骨折护踝,三代,SERUNA,HH43,三月：55-9=46,已量产,2026.01上架,①等待SERUNA测试后，更换同款面料 / ②夹板重新开模新外观，更新后可三品牌可同时进行升级,,护踝货盘(5).xlsx,2026.03
护踝,骨折护踝,夹板护踝,一代,TMT,H68,0,已量产,清仓中,销量稳定后可推出短款,,护踝货盘(5).xlsx,2026.03
护踝,骨折护踝,夹板护踝,二代,TMT,HH11,三月：121-37=84,已量产,,销量稳定后可推出短款,,护踝货盘(5).xlsx,2026.03
护踝,骨折护踝,夹板护踝,二代,SERUNA,HH11,,未知,,销量稳定后可推出短款,,护踝货盘(5).xlsx,2026.03
护踝,骨折护踝,夹板护踝,三代,TMT,HH39/C-HH51,三月：42-56=-14（HH39) / 三月：1179-367=812（C-HH51）,已量产,2025.11上架 / HH39清仓中,销量稳定后可推出短款,https://detail.tmall.com/item.htm?ali_refid=a3_430673_1006%3A1687146107%3AH%3AzPVVtyeZHoLUSXBr%2F7ITjQ%3D%3D%3A2548fce522ef77887d06fb5ed19878b8&ali_trackid=282_2548fce522ef77887d06fb5ed19878b8&id=779208410893&loginBonus=1&mi_id=0000o2jfV1mMfSybrTZ2iQ5NDvCOugbN0pVRbFeWhUq_pzs&mm_sceneid=1_0_5453097102_0&priceTId=2150494517673247611881455e100d&skuId=5719878080460&spm=a21n57.sem.item.23&utparam=%7B%22aplus_abtest%22%3A%22533469c26bd17209df34d5fd496a8687%22%7D&xxc=ad_ztc,护踝货盘(5).xlsx,2026.03
护踝,骨折护踝,夹板护踝,三代,SERUNA,HH49,三月:475-115=360,已量产,2026.02上架,销量稳定后可推出短款,https://detail.tmall.com/item.htm?ali_refid=a3_430673_1006%3A1687146107%3AH%3AzPVVtyeZHoLUSXBr%2F7ITjQ%3D%3D%3A2548fce522ef77887d06fb5ed19878b8&ali_trackid=282_2548fce522ef77887d06fb5ed19878b8&id=779208410893&loginBonus=1&mi_id=0000o2jfV1mMfSybrTZ2iQ5NDvCOugbN0pVRbFeWhUq_pzs&mm_sceneid=1_0_5453097102_0&priceTId=2150494517673247611881455e100d&skuId=5719878080460&spm=a21n57.sem.item.23&utparam=%7B%22aplus_abtest%22%3A%22533469c26bd17209df34d5fd496a8687%22%7D&xxc=ad_ztc,护踝货盘(5).xlsx,2026.03
护踝,骨折护踝,夹板护踝,三代,JAFFICK,,,未知,该版型产品功能及需求与二级防护护踝类似。若无运营需求，不主动升级,销量稳定后可推出短款,https://detail.tmall.com/item.htm?ali_refid=a3_430673_1006%3A1687146107%3AH%3AzPVVtyeZHoLUSXBr%2F7ITjQ%3D%3D%3A2548fce522ef77887d06fb5ed19878b8&ali_trackid=282_2548fce522ef77887d06fb5ed19878b8&id=779208410893&loginBonus=1&mi_id=0000o2jfV1mMfSybrTZ2iQ5NDvCOugbN0pVRbFeWhUq_pzs&mm_sceneid=1_0_5453097102_0&priceTId=2150494517673247611881455e100d&skuId=5719878080460&spm=a21n57.sem.item.23&utparam=%7B%22aplus_abtest%22%3A%22533469c26bd17209df34d5fd496a8687%22%7D&xxc=ad_ztc,护踝货盘(5).xlsx,2026.03
护踝,骨折护踝,二级防护,一代,TMT,,,未知,该版型产品功能及需求与夹板护踝类似。若无运营需求，不主动升级,,,护踝货盘(5).xlsx,2026.03
护踝,骨折护踝,二级防护,一代,SERUNA,HH23,三月：1929-491=1438,已量产,2025.9上架,,,护踝货盘(5).xlsx,2026.03
护踝,骨折护踝,二级防护,一代,JAFFICK,HH31,三月：260-68=192,已量产,2025.10上架,,,护踝货盘(5).xlsx,2026.03
护踝,骨折护踝,鞋带固定,一代,TMT,H18,0,已量产,清仓中,,,护踝货盘(5).xlsx,2026.03
护踝,骨折护踝,早期清仓未配图护踝,未标注,TMT,H17,0,已量产,清仓中,,,护踝货盘(5).xlsx,2026.03
睡眠,双面眼罩,无鼻梁低价款,一代,SERUNA,YZ11,227-69=158,已量产,清仓中,,,睡眠货盘(7).xlsx,2026年4月
睡眠,双面眼罩,无鼻梁低价款,二代,SERUNA,YZ12,1530-230=1300,已量产,2025.12.14上架,,,睡眠货盘(7).xlsx,2026年4月
睡眠,双面眼罩,鼻梁高价款,一代,SERUNA,YZ13,已清仓,未知,,,,睡眠货盘(7).xlsx,2026年4月
睡眠,双面眼罩,鼻梁高价款,二代,SERUNA,YZ13,68-14=54,已量产,2025.12.10上架,,,睡眠货盘(7).xlsx,2026年4月
睡眠,重力眼罩,月牙重力眼罩,一代,SERUNA,YZ15,325-39=286,已量产,2026.3上架,,,睡眠货盘(7).xlsx,2026年4月
睡眠,真丝眼罩,真丝眼罩,一代,SERUNA,YZ09,6-1=5,已量产,,,,睡眠货盘(7).xlsx,2026年4月
睡眠,套头式睡眠帽,双面套头睡眠帽,一代,SERUNA,YZ19,1499-346=1153,已量产,2026.2.6上架,,,睡眠货盘(7).xlsx,2026年4月
睡眠,泡棉耳塞,基础款泡棉耳塞,一代,SERUNA,ES01,5989-803=5186,已量产,,,,睡眠货盘(7).xlsx,2026年4月
睡眠,X形口贴,基础款X形口贴,一代,SERUNA,JR17,0,已量产,,,,睡眠货盘(7).xlsx,2026年4月
睡眠,记忆棉旅行枕,珍珠棉旅行枕,一代,SERUNA,HJ11,21-3=18,已量产,2026.2.9上架,,,睡眠货盘(7).xlsx,2026年4月
睡眠,记忆棉旅行枕,冰凉丝旅行枕,一代,SERUNA,HJ13,0,已量产,2026.3上架,,,睡眠货盘(7).xlsx,2026年4月
睡眠,纯棉旅行枕,纯棉长条旅行枕,一代,SERUNA,HJ09,0,已量产,2026.3上架,,,睡眠货盘(7).xlsx,2026年4月
