临时编号,模块名,模块维度,归属品牌,一句话说明,来源SKU,状态,关键参数,适用品类,不适用场景,负责人,建议归入维度,收集来源,收集时间,确认状态
TMP-PAL-护踝-021,透气（护踝-轻薄扭伤 / （绑带透气款））,功能,SERUNA,在护踝轻薄扭伤 / （绑带透气款）一代中出现的功能关键词，原文：轻薄扭伤 / （绑带透气款）,HH25,已量产,,护踝,,党英轩,,货盘沉淀-护踝货盘(5).xlsx,2026-05-20,待负责人确认
TMP-PAL-护踝-022,透气（护踝-轻薄扭伤 / （绑带透气款））,功能,JAFFICK,在护踝轻薄扭伤 / （绑带透气款）一代中出现的功能关键词，原文：轻薄扭伤 / （绑带透气款）,HH33,已量产,,护踝,,党英轩,,货盘沉淀-护踝货盘(5).xlsx,2026-05-20,待负责人确认
TMP-PAL-护踝-023,透气（护踝-轻薄扭伤 / （绑带透气款））,功能,ANTA,在护踝轻薄扭伤 / （绑带透气款）一代中出现的功能关键词，原文：轻薄扭伤 / （绑带透气款）,护踝-轻薄扭伤 / （绑带透气款）-一代,概念,,护踝,,党英轩,,货盘沉淀-护踝货盘(5).xlsx,2026-05-20,待负责人确认
TMP-PAL-护踝-024,硅胶（护踝-轻薄扭伤 / （绑带硅胶款））,材料,TMT,在护踝轻薄扭伤 / （绑带硅胶款）一代中出现的材料关键词，原文：轻薄扭伤 / （绑带硅胶款）,HH03,已量产,,护踝,,党英轩,,货盘沉淀-护踝货盘(5).xlsx,2026-05-20,待负责人确认
TMP-PAL-护踝-025,硅胶（护踝-轻薄扭伤 / （绑带硅胶款））,材料,SERUNA,在护踝轻薄扭伤 / （绑带硅胶款）一代中出现的材料关键词，原文：轻薄扭伤 / （绑带硅胶款）,HH03,已量产,,护踝,,党英轩,,货盘沉淀-护踝货盘(5).xlsx,2026-05-20,待负责人确认
TMP-PAL-护踝-026,硅胶（护踝-轻薄扭伤 / （绑带硅胶款））,材料,JAFFICK,在护踝轻薄扭伤 / （绑带硅胶款）一代中出现的材料关键词，原文：轻薄扭伤 / （绑带硅胶款）,HH03,已量产,,护踝,,党英轩,,货盘沉淀-护踝货盘(5).xlsx,2026-05-20,待负责人确认
TMP-PAL-护踝-027,硅胶（护踝-轻薄扭伤 / （绑带硅胶款））,材料,ANTA,在护踝轻薄扭伤 / （绑带硅胶款）一代中出现的材料关键词，原文：轻薄扭伤 / （绑带硅胶款）,护踝-轻薄扭伤 / （绑带硅胶款）-一代,概念,,护踝,,党英轩,,货盘沉淀-护踝货盘(5).xlsx,2026-05-20,待负责人确认
TMP-PAL-护踝-028,印花（护踝-轻薄扭伤 / （绑带硅胶款））,外观,通用,在护踝轻薄扭伤 / （绑带硅胶款）中出现的外观关键词，原文：①参考KEEP硅胶垫改为热压工艺，目前存在印花上缝线问题 / ②改为网眼透气面料 / ③其余同上,护踝-轻薄扭伤 / （绑带硅胶款）-,概念,,护踝,,党英轩,,货盘沉淀-护踝货盘(5).xlsx,2026-05-20,待负责人确认
TMP-PAL-护踝-029,短款（护踝-夹板护踝）,版型,通用,在护踝夹板护踝中出现的版型关键词，原文：销量稳定后可推出短款,护踝-夹板护踝-,概念,,护踝,,党英轩,,货盘沉淀-护踝货盘(5).xlsx,2026-05-20,待负责人确认
TMP-PAL-睡眠-001,后绑（睡眠-后绑重力眼罩）,版型,SERUNA,在睡眠后绑重力眼罩一代中出现的版型关键词，原文：后绑重力眼罩,睡眠-后绑重力眼罩-一代,概念,,睡眠,,党英轩,,货盘沉淀-睡眠货盘(7).xlsx,2026-05-20,待负责人确认
TMP-PAL-睡眠-002,泡棉（睡眠-基础款泡棉耳塞）,材料,SERUNA,在睡眠基础款泡棉耳塞一代中出现的材料关键词，原文：基础款泡棉耳塞,ES01,已量产,,睡眠,,党英轩,,货盘沉淀-睡眠货盘(7).xlsx,2026-05-20,待负责人确认
